nctId,briefSummary,detailedDescription,inclusion_criteria,exclusion_criteria,intervention_name_clean,outcomes_name
NCT02783573,The main purpose of this study is to evaluate the efficacy of the study drug known as lanabecestat in participants with mild Alzheimer's disease (AD) dementia.,,"participant must meet the national institute on aging (nia) and the alzheimer's association (aa) (nia-aa) criteria for probable ad dementia.; mmse score of 20 to 26 inclusive at screening visit.; for a diagnosis of mild ad dementia, participant must have a cdr global score of 0.5 or 1, with the memory box score ≥0.5 at screening.; evidence of amyloid pathology.; the participant must have a reliable study partner with whom he/she cohabits or has regular contact.","significant and/or current neurological disease affecting the central nervous system, other than ad, that may affect cognition or ability to complete the study, including but not limited to, other dementias, repetitive head trauma, serious infection of the brain, parkinson's disease, epilepsy, or cervicocranial vascular disease.; participants with any current primary psychiatric diagnosis other than ad if, in the judgment of the investigator, the psychiatric disorder or symptom is likely to confound interpretation of drug effect, affect cognitive assessment, or affect the participant's ability to complete the study. participants with history of schizophrenia or other chronic psychosis are excluded.; within 1 year before the screening visit or between screening and randomization, any of the following: myocardial infarction; moderate or severe congestive heart failure, new york heart association class iii or iv; hospitalization for, or symptoms of, unstable angina; syncope due to orthostatic hypotension or unexplained syncope; known significant structural heart disease (such as, significant valvular disease, hypertrophic cardiomyopathy); or hospitalization for arrhythmia.; congenital qt prolongation.; intermittent second- or third-degree atrioventricular (av) heart block or av dissociation or history of ventricular tachycardia.; a corrected qt (qtcf) interval measurement \>470 milliseconds (men and women) at screening (as determined at the investigational site).; history of malignant cancer within the last 5 years.; history of vitiligo and/or current evidence of post-inflammatory hypopigmentation.; calculated creatinine clearance \<30 milliliters per minute (cockcroft-gault formula; cockcroft and gault 1976) at screening.; currently enrolled in any other clinical trial involving an investigational product or any other type of medical research judged not to be scientifically or medically compatible with this study.",Lanabecestat; Placebo,Change From Baseline in Alzheimer´s Disease Assessment Scale- Cognitive Subscale (ADAS-Cog13) Score
NCT02791191,The main purpose of this study is to evaluate the safety and the effect on brain tau of the study drug LY3202626 in participants with mild Alzheimer's disease (AD) dementia.,,present with mild ad dementia based on the national institute on aging (nia) and the alzheimer's association (aa) disease diagnostic criteria as determined by a qualified clinician approved by the sponsor or designee.; mini-mental state examination score of 20 to 26 inclusive at screening visit.; has a florbetapir pet scan consistent with the presence of amyloid pathology at screening.,"significant neurological disease affecting the central nervous system (cns), other than ad, that may affect cognition or ability to complete the study, including but not limited to, other dementias, serious infection of the brain, parkinson's disease, multiple concussions, or epilepsy or recurrent seizures (except febrile childhood seizures).; ocular pathology that significantly limits ability to reliably evaluate vision or the retina.; use of strong inducers of cytochrome p450 3a (cyp3a).; sensitivity to florbetapir or 18f-av-1451.; contraindication to mri or pet or poor venous access for blood draws.",LY3202626; Placebo,Change From Baseline in ¹⁸F-AV-1451 Positron Emission Tomography (PET) Standard Uptake Value Ratio (SUVr) at 52 Weeks
NCT02864303,"Although saliva is not generally regarded as one of the most interesting biological fluids, the fact that it can be sampled using simple, noninvasive methods makes it an interesting alternative to cerebrospinal fluid (CSF) or blood for diagnostic purposes. The use of salivary diagnostics is moreover increasing these past 10 years, as shown with the abundant literature as well as various clinical trials. Saliva collection which is now well standardized has the major advantage of being simple and non-invasive. An original study had already discussed possible changes in the salivary composition in Alzheimer's disease (AD). The feasibility and the potential interest of measuring saliva concentration of the amyloid peptides was reported in an article published recently. The prospect of using saliva for early diagnosis and monitoring of AD is thus of major interest and the objective of the current trial.","Saliva samples

To minimize the circadian effects, saliva specimens were all collected between 9:00 and 11:00 a.m. Prior to the sampling procedure, participants rinsed out their mouths three times with water. To induce salivary production, patients were asked to chew neutral or citric acid impregnated Salivette cotton swabs for exactly 60 seconds. Saliva specimens were centrifuged for 2 minutes at a rate of 1000 g to yield clear saliva, which was aliquoted into 500 µL samples in LoBind tubes and stored at -80°C before being analyzed.

Design of the study

Saliva sampling will be performed at V0 (M0), V1 (M12) and V2 (M24). Blood sampling will take place also in V1 (M12). The cases and the controls will be systematically reviewed 12 months after inclusion with a new saliva collection and a cognitive assessment (for cases and controls).

Amyloid peptide quantification

Levels of human endogenous Aβ40 and Aβ42 in saliva and human plasma samples are determined with human specific enzyme-linked immunosorbent assay (ELISA) (Biosource International, Invitrogen), according to the manufacturer's instructions. Briefly, 50 μl of saliva and plasma samples were added in triplicate to the microtiter wells. Detection limit of the assay was 6 pg/ml for Aβ40 and 1 pg/ml for Aβ42.","men/women;; aged ≥ 55 years and 80 years;; patients mild cognitive impairment (mci), not answering either the criteria of a normal cognitive functioning or the criteria of the insanity, but meeting the criteria of diagnosis of following mci in the term of a complete cognitive balance sheet (assessment) and according to the diagnostic procedure published by the work group on the mci of the eadc: ; mnesic complaint ; decline of the cognitive performances with regard to the previous capacities ; cognitive disorders(confusions) objectified by the clinical evaluation (change of the memory and/or another cognitive sphere) ; the cognitive change has no echo on the everyday life ; not dementia syndrome; signature of the informed consent by the patient;; subject affiliated to a national insurance scheme.","edentulous total or poor oral hygiene;; absence of the signed informed consent;; clinical and laboratory information insufficient or unavailable;; patient deprived of freedom, by court or administrative order;; major protected by law;; presence of a contagious viral affection (hiv, hepatitis b and c);; patient included in a therapeutic trial targeting the metabolism of metabolism of amyloid peptides ;; patient in period of relative exclusion with regard to another protocol or for which the annual maximum amount of the 4500-compensations was reached.",Saliva samples,Aβ40 and Aβ42
NCT02884492,This study is being done to learn about tau tangles in Alzheimer's disease. A type of PET scan is used to measure the abnormal accumulation of protein called tau in the brain. These are thought to be involved in Alzheimer's disease. The investigators will also perform brain MRI and to tests to measure the participant's memory and thinking.,"This study is being done to determine the relationship between tau tangles and cognitive impairment in elderly subjects with different clinical and biomarker profiles of Alzheimer's disease (AD). Subjects will undergo screen that includes neuropsychological testing and brain MRI. This study uses a special type of scan called a PET scan to take pictures of the brain. During the PET scan, a special radioactive dye called 18F-THK-5351 is injected into the body. 18F-THK-5351 sticks to abnormal tangles made of the protein tau. Subjects will have the option to have lumbar puncture performed to measure CSF concentrations of biomarkers.","1. age 50 and older.2. meet criteria for either a) amnestic mild cognitive impairment (single or mixed domain) or mild alzheimer's disease, or b) have no cognitive impairment, based on history, exam, neuropsychological testing, and consensus diagnosis. mci and mild ad patients must have clinical dementia rating scale score of 0.5 or 1. unimpaired subjects must have clinical dementia rating scale score of 0.3. subjects unable to provide informed consent must have a surrogate decision maker.4. written and oral fluency in english or spanish.5. able to participate in all scheduled evaluations and to complete all required tests and procedures.6. in the opinion of the investigator, the subject must be considered likely to comply with the study protocol and to have a high probability of completing the study.","1. past or present history of certain brain disorders other than mci or ad.2. certain significant medical conditions, which make study procedures of the current study unsafe. such serious medical conditions include uncontrolled epilepsy and multiple serious injuries.3. contraindication to mri scanning.4. conditions precluding entry into the scanners (e.g. morbid obesity, claustrophobia, etc.).5. history of kidney disease or presence of impaired kidney function based on laboratory tests at the screening visit.6. history of liver disease or presence of impaired liver function based on laboratory tests at the screening visit.7. participation in the last year in a clinical trial for a disease-modifying drug for ad.8. inability to have a catheter in subject's vein for the injection of radioligand.9. inability to have blood drawn from subject's veins.",18F-THK-5351; Lumbar Puncture (optional),18F-THK-5351 Standardized Uptake Value Ratio
NCT02916056,This is an open-label extension study in patients with mild Alzheimer's disease who have completed participation in the azeliragon Phase 3 (STEADFAST) trial. Patients will receive azeliragon 5 mg/day for up to 2 years.,,"successful completion of study ttp488-301 through the month 18 visit without ongoing serious adverse events or history of serious adverse drug reactions during study ttp488-301.; patients must enroll in the present study within 7 days of completion of study ttp488-301.; evidence of a personally signed and dated informed consent document indicating that the subject (or a legally authorized representative) and caregiver/informant has been informed of all pertinent aspects of the study. participants must be able to provide assent (where this is in accordance with local laws, regulations and ethics committee policy) and assent may be re-evaluated during the study at regular intervals.; participants and caregiver/informants who are willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.; the subject must have a reliable caregiver/informant with regular contact (i.e., 10 hours a week as combination of face-to-face visits and telephone contact acceptable) who will facilitate the subject's full participation in the study. caregivers/informant must have sufficient subject interaction to be able to provide meaningful input into the rating scales administered in this study where caregiver/informant input is required, in particular the cdr and evidence of this should be documented in source documentation. participants who reside in assisted living facilities are permitted provided that they meet caregiver/informant criteria.; participants and caregiver/informants must be able to read, write, and speak the language in which psychometric tests are provided with visual and auditory acuity (corrected) sufficient to allow for accurate psychometric testing.; subject must be able to ingest oral medications.","the subject is felt by the investigator to be unsuitable (on the basis of health, compliance, caregiver availability, or for any other reason) for inclusion in the study.; subjects with serious suicide risk. if there are ""yes"" answers on items 4, 5 or on any behavioral question of the c-ssrs, a suicide risk assessment must be done by a qualified mental health professional with expertise in the evaluation of suicidality in the elderly (e.g., psychiatrist, geriatrician or neurologist specializing in treatment of patients with ad) to determine whether it is safe for the subject to participate in the study.; subjects demonstrating a qtcf \> 480 msec or a \>45 msec change from the ttp488-301 baseline value based on the locally read ecg performed at the ttp488-301 month 18 visit (ttp488-303 baseline). participants with known history of bundle branch block (either right or left) are allowed if absolute qtcf value does not exceed 500 msec. participants with a functioning pacemaker, indicated by an ecg displaying paced rhythm, are allowed with no qtc upper limit.; other acute or chronic medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation or investigational product administration or may prevent the subject from completing the 2-year study or may interfere with the interpretation of study results and, in the judgment of the investigator, would make the subject inappropriate for entry into this trial.",Azeliragon,Number of Subjects With at Least One Treatment-Emergent Adverse Event
NCT02956486,"The name of this trial is MissionAD1. This phase 3 study consists of a Core and Open Label Extension (OLE) Phase in participants with Early Alzheimer's Disease (EAD), and will be conducted to evaluate the efficacy and safety of E2609. The Core is a 24-month treatment, multicenter, double blind, placebo controlled parallel group study. The OLE is a 24-month treatment, one group study. The data for the studies E2609-G000-301 (NCT02956486, MissionAD1) and E2609-G000-302 (NCT03036280, MissionAD2) will be pooled.",,core study; mild cognitive impairment due to alzheimer's disease (ad) or mild ad dementia including 1. mini mental state examination score equal to or greater than 24 2. clinical dementia rating (cdr) global score of 0.5 3. cdr memory box score of 0.5 or greater; impaired episodic memory confirmed by a list learning task; positive biomarker for brain amyloid pathology as indicated by either amyloid positron emission tomography or cerebrospinal fluid ad assessment or bothextension phase• participants who complete the core study,"core study; females who are breastfeeding or pregnant at screening or baseline. females of child-bearing potential must use a highly effective method of contraception throughout the entire study period and for 28 days after study drug discontinuation; any condition that may be contributing to cognitive impairment above and beyond that caused by the participant's ad; participants with a history of seizures within 5 years of screening; history of transient ischemic attacks or stroke within 12 months of screening; psychiatric diagnosis or symptoms (example, hallucinations, major depression, delusions etc.); suicidal ideation or any suicidal behavior within 6 months before screening or has been hospitalized or treated for suicidal behavior in the past 5 years; have any contraindications to magnetic resonance imaging (mri) scanning or 1. have lesions that could indicate a dementia diagnosis other than ad on brain mri 2. exhibit other significant pathological findings on brain mri.; participants who have a history of moderate to severe hepatic impairment (example, child-pugh class b or c); results of laboratory tests conducted during screening that are outside the following limits: 1. absolute lymphocyte count below the lower limit of normal (lln) 2. thyroid stimulating hormone above normal range 3. abnormally low vitamin b12 levels; participants at increased risk of infection; have received any live vaccine/live attenuated vaccine in the 3 months before randomization; any chronic inflammatory disease that is not adequately controlled or that requires systemic immunosuppressive or immunomodulatory therapy; any other clinically significant abnormalities; severe visual or hearing impairment; a prolonged corrected qt (qtc) interval (qt interval with fridericia's correction \[qtcf\] greater than 450 milliseconds \[ms\]); malignant neoplasms within 5 years of screening; known or suspected history of drug or alcohol abuse; taking prohibited medications, which must be reviewed with the investigator; have participated in a recent clinical studynote: other protocol-defined inclusion/exclusion criteria may apply.",Elenbecestat; Placebo,Core Phase: Change From Baseline up to Month 24 in the Clinical Dementia Rating-sum of Boxes (CDR-SB) Score; Extension Phase: Number of Participants Reporting One or More Treatment-emergent Adverse Events (TEAEs)
NCT02972658,"This study is an extension of study I8D-MC-AZES (NCT02245737), the AMARANTH study. The purpose of this study is to evaluate the effectiveness of the study drug lanabecestat in participants with early Alzheimer's disease dementia at the time of entry into study I8D-MC-AZES.","Study AZFD was designed to be integrated with 104-week study AZES to form a Delayed-Start study (Study AZES-FD). Study AZES-FD was to be used to test the hypothesis that participants originally randomized to receive placebo in the double-blind feeder study AZES and switched to LY3314814 at the start of study AZFD did not ""catch up"" on the Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog13) at Week 26 of study AZFD to participants originally randomized to receive LY3314814 in the double-blind feeder study.",participants previously enrolled in amaranth (nct02245737) who meet eligibility criteria for delayed-start i8d-mc-azfd.,participants who participate in amaranth (nct02245737) who develop new conditions precluding them from enrolling into i8d-mc-azfd.,Lanabecestat,Change From Baseline Analysis on the 13-item Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog13)
NCT03047694,"Lexical semantic disorders are described in Alzheimer's disease, and their incidence in everyday life is important to the extent that these disorders affect expression and comprehension.

Providing a tactile tablet stimulation, independent and complementary to speech therapy, could help to maintain certain abilities and reinforce the feeling of autonomy of the patients.","It is a monocentric, controlled, randomized, parallel-group, single-blind clinical trial.

For each of the two forms of Alzheimer's Disease (young or late), it compares two groups of patients: a group benefiting from a tactile tablet semantic stimulation (tablet group) and a control group All patients benefit from a clinical evaluation and a language assessment at M0, M3 and M6. The analyzes will be conducted in intention to treat.

The main criterion is the 3-month variation of the Lexis 3 subtests scores. The two groups will be compared by the Student test.

The number of subjects required is based on the following assumptions: a 10% increase over three months of the Lexis subtests scores in the tablet group and a stability of the scores in the control group. The standard deviation of the variation is assumed to be identical in both groups and equal to 13% at the most. Three scores being compared, tests will be conducted at the 1.67% threshold (Bonferroni correction) to ensure a 5% overall risk of first species. The inclusion of 36 patients in each of the two treatment groups will give 80% power to the study.","1. major patient2. patient with a diagnosis of alzheimer's disease according to dsm-iv and nincds-adrda criteria.3. patient at a moderate stage of the disease: score at cdr (clinical dementia rating scale) between 0.5 inclusive and 2 inclusive and mms score greater than or equal to 10 and lower strictly at 274. lexical-semantic disorder5. treatment with pro-cognitive drugs at stable doses for at least 3 months,6. speech therapy in progress (2 or 3 sessions per week)7. patient with free and informed consent8. affiliated to the health care system9. native french speaker,10. attendance of a caregiver.for the early onset group, patients should have started the disease before 65 years of age. the randomization will be stratified according to age (\ 65 years), enabling to include 2 groups of identical size of young ad (alzheimer disease) and late (alzheimer disease) patients, each half distributed in the tablet or control group.","1. other known neurological disease or general illness or major psychic problems that may interfere with cognitive functioning,2. patient under guardianship or curatorship3. confusion,4. cerebral mri (or scanner for contraindication to mri), obtained in the context of routine care compatible with a pathological process other than that related to alzheimer's disease. a discrete or moderate leukoaraiosis (stages 1 and 2 of fazekas) will not be considered as a criterion of non-inclusion.5. uncorrected hearing or visual impairment6. inclusion in another intervention protocol.7. participation in an additional stimulation workshop",tablet therapy; usual care,variation of performance on naming subtest of the LEXIS; variation of performance on designation subtest of the LEXIS; variation of performance on semantic matching subtest of the LEXIS
NCT03056495,"This Clinical Trial is an open, non-randomized Phase Ib study to determine the maximal tolerable dose (MTD) of Vorinostat in Alzheimer disease (AD) patients between (including) 55 and 90 years with mild symptoms. The MTD in this study is defined as the dose that leads to maximum toxicity with Common Toxicity Criteria (CTC) grade 1 symptoms.The safety and tolerability of Vorinostat in this group of study participants should be tested.","The MTD of Vorinostat in the treatment of Alzheimer's patients is to be determined by using an open, non-randomized, multicentric dose-finding study with adaptive design. This Clinical Trial will take place in 2 parts.

The first part will be performed as a dose escalation part in cohorts of three subjects. Possible dosages will be: one, two, three or four capsules (100 mg per capsule) once per day. The first cohort receives a dose of 100 mg per day. After the treatment, a Vorinostat-free follow-up phase will take place. For the following cohorts, dose increases, a repetition of the previous dose or a dose reduction are possible.

After the dose escalation with a determination of the MTD, a dosage confirmation is carried out with additional subjects. The subjects are given a dose of Vorinostat of MTD over 4 weeks followed by a Vorinostat-free follow-up phase.","written informed consent to participate in the study; verified capacity to consent by a doctor not involved in the study; mild alzheimer's disease (nincds / adrda criteria and mini-mental state examination (mmse) 22-27); age (including) from 55 to 90 years; subjects must be able to meet the requirements described in the study protocol; outpatient living; informant lives with subject in the same household; rosen modified hachinski ischemia score ≤4; concerning only female patients: postmenopausal; concerning only male patients: commitment to use a suitable contraceptive; cerebral imaging study (ct or cmri), which is consistent with a diagnosis of probable alzheimer's disease (not older than 3 years)","other neurological and psychiatric diseases explaining cognitive deficits better than an ad diagnosis; conspicuous mri / cct scan explaining the cognitive deficits better than an ad diagnosis; severe physical, neurological or psychiatric disorders that interfere with the participation in the study; history of malignant tumors except non- metastasizing basal cell carcinoma of the skin; history of seizures; dysphagia leading to the inability to swallow capsules; untreated severe acute infections with clinical symptoms such as respiratory infections, pneumonia, bronchitis, acute diarrhea, influenza, untreated urinary tract infections; in the family history, unexplained sudden cases of heart failure before the age of 50 years; long qt syndrome in the family history; evidence of qtc prolongation ≥480 ms at screening (fridericia adjusted qt interval), of arrhythmias especially of severe uncontrolled ventricular arrhythmias or atrial fibrillation in ecg; not sufficiently treated angina; heart failure (nyha iii, iv); myocardial infarction; known infection with hbv, hcv and / or hiv; occurrence of venous thrombosis or embolism; therapy with antidepressants begun in the last 12 weeks or dose modification of a pre-existing therapy with antidepressants; antidiabetic treatment begun in the last 12 weeks or dose modification of pre-existing antidiabetic treatment; long-term use of anti-inflammatory drugs except acetylsalicylic acid for cardiovascular prophylaxis; current treatment or treatment within the past 12 weeks with hdac inhibitors (eg valproate); taking medication that may increase the dose-dependent side effects myelosuppression or qtc interval prolongation.these include, but are not limited to: class ia antiarrhythmic agents such as quinidine, procainamide, disopyramide; class iii antiarrhythmic drugs such as amiodarone, sotalol, ibutilide; class ic antiarrhythmics such as flecainide, propafenone; penicillamine; opioids such as methadone and pyrazolone derivatives such as metamizole and propyphenazone; doxorubicin, epirubicin; macrolides and their analogues such as erythromycin, clarithromycin; telithromycin; oxazolidinones such as linezolid; quinolones such as moxifloxacin, levofloxacin; fluoxetine, maprotiline; tricyclic and tetracyclic antidepressants; chlorpromazine, pimozide, haloperidol, droperidol, ziprasidone and clozapine; antiemetics; azole like ketoconazole, fluconazole, voriconazole; aminocholine such as primaquine; pentamidine such as quinine, chloroquine; diaminopyrimidine such as pyrimethamine; salbutamol and formoterol methotrexate; azathioprine, cyclosporine interferon gamma 1b; alemtuzumab, basiliximab, efalizumab, natalizumab; sunitinib, nilotinib, lapatinib; mitoxantrone, hydroxycarbamide, mercaptopurine; taking of prescription and non-prescription drugs for cognitive enhancement (except cholinesterase inhibitors and memantine at a stable dose for at least 3 months before baseline); therapy with anticoagulants except acetylsalicylic acid; hba1c in screening more than 10% above the upper limit of normal; magnesium, sodium, calcium and potassium levels outside the normal range (at screening and baseline); existing anemia with hb \ 15 rbcs / ml at screening and baseline; proteinuria at screening and baseline except in asymptomatic urinary tract infections; participating in other clinical and therapeutic trials within the last 12 weeksrelevant only for dose confirmation: subjects with existing contraindications for performing an mri if no mri available from the period of 6 months prior to screening; cardiac pacemaker; metal objects in the body, which exclude a 1.5 or 3 t mri; claustrophobia",N-hydroxy-N'-phenyl-octanediamide (Vorinostat),Determination of the maximum-tolerated dose (MTD) in elderly subjects during dose escalation
NCT03114657,"This randomized, double-blind, placebo-controlled, parallel-group study will evaluate the efficacy and safety of crenezumab versus placebo in participants with prodromal to mild AD. Participants will be randomized 1:1 to receive either intravenous (IV) infusion of crenezumab or placebo every 4 weeks (Q4W) for 100 weeks. The primary efficacy assessment will be performed at 105 weeks. The participants who do not enter open-label extension will enter for a long term follow-up period for up to 52 weeks after the last crenezumab dose (Week 153).",,"weight between 40 and 120 kilograms (kg) inclusive; availability of a person (referred to as the ""caregiver"") who in the investigator's judgment: has frequent and sufficient contact with the participant to be able to provide accurate information regarding the participant's cognitive and functional abilities, agrees to provide information at clinic visits (which require partner input for scale completion), signs the necessary consent form, and has sufficient cognitive capacity to accurately report upon the participant's behavior and cognitive and functional abilities; fluency in the language of the tests used at the study site; adequate visual and auditory acuity, in the investigator's judgment, sufficient to perform the neuropsychological testing (eye glasses and hearing aids are permitted); evidence of the ad pathological process, by a positive amyloid assessment either on cerebrospinal fluid (csf) amyloid beta 1-42 levels as measured on the elecsys beta-amyloid(1-42) test system or amyloid pet scan by qualitative read by the core/central pet laboratory; demonstrated abnormal memory function at screening (up to 4 weeks before screening begins) or screening (fcsrt cueing index =\=) 22 points and clinical dementia rating-global score (cdr-gs) of 0.5 or 1.0; meets national institute on aging/alzheimer's association (niaaa) core clinical criteria for probable ad dementia or prodromal ad (consistent with the niaaa diagnostic criteria and guidelines for mild cognitive impairment (mci); if receiving symptomatic ad medications, the dosing regimen must have been stable for 3 months prior to screening; participant must have completed at least 6 years of formal education after the age of 5 years","any evidence of a condition other than ad that may affect cognition such as other dementias, stroke, brain damage, autoimmune disorders (e.g. multiple sclerosis) or infections with neurological sequelae.; history of major psychiatric illness such as schizophrenia or major depression (if not considered in remission); at risk of suicide in the opinion of the investigator; any abnormal mri findings, such as presence of cerebral vascular pathology, cortical stroke, etc or inability to tolerate mri procedures or contraindication to mri; unstable or clinically significant cardiovascular (e.g., myocardial infarction), kidney or liver disease; uncontrolled hypertension; screening hemoglobin a1c (hba1c) \>8%; poor peripheral venous access; history of cancer except:if considered to be cured or if not being actively treated with anti-cancer therapy or radiotherapy- known history of severe allergic, anaphylactic, or other hypersensitivity reactions to chimeric, human, or humanized antibodies or fusion proteins",Crenezumab; Placebo,Change From Baseline to Week 77 in Clinical Dementia Rating-Sum of Boxes (CDR-SB) Scale Score
NCT03131453,"The purpose of this study is to determine the effects of CNP520 on cognition, global clinical status, and underlying AD pathology, as well as the safety of CNP520, in people at risk for the onset of clinical symptoms of AD based on their age, APOE genotype and elevated amyloid.","This trial was a randomized, double-blind, placebo-controlled, parallel group, adaptive design with variable treatment duration planned in cognitively unimpaired participants aged 60 to 75 years, with at least one apolipoprotein E allele (APOE4), (homozygotes (HMs) or heterozygotes (HTs)) and, if HTs, with evidence of elevated brain amyloid. The participants were randomized to either CNP520 50 mg, CNP520 15 mg or placebo a 2:1:2 ratio and was stratified based on amyloid status. The planned treatment period of 5 to 8 years was not achieved due to early study termination.","consent to receive disclosure of their risk estimates to develop clinical symptoms of ad based on their apoe genotype and, if heterozygotes, evidence of elevated brain amyloid.; male or female, age 60 to 75 years inclusive. females must be considered post-menopausal and not of child bearing potential; cognitively unimpaired as evaluated by memory tests performed at screening.; participant's willingness to have a study partner.; carrier of at least one apoe4 gene if heterozygotes, elevated brain amyloid (as measured by csf abeta or amyloid pet imaging).","any disability that could have prevented the participants from completing all study requirements. -; current medical or neurological condition that could have impacted cognition or performance on cognitive assessments.; advanced, severe progressive or unstable disease that could have interfered with the safety, tolerability and study assessments, or put the participant at special risk.; history of malignancy of any organ system, treated or untreated, within the past 60 months.; indication for, or current treatment with cheis and/or another ad treatment (e.g. memantine).; contraindication or intolerance to mri.; brain mri results showing findings unrelated to ad that, in the opinion of the investigator might be a leading cause to future cognitive decline, could have posed a risk to the participant, or could have prevented a satisfactory mri assessment for safety monitoring.; suicidal ideation in the past six months, or suicidal behavior in the past two years.; a positive drug screen at screening, if, in the investigator's opinion, was is due to drug abuse.; significantly abnormal laboratory results at screening, not as a result of a temporary condition.; current clinically significant ecg findings.; clinically relevant depigmenting or hypopigmenting conditions (e.g. albinism, vitiligo) or active / history of chronic urticaria in the past year.",CNP520; Matching placebo,"Time to Event (Diagnosis of Mild Cognitive Impairment or Dementia, Due to Alzheimer's Disease (AD)); Change in the Alzheimer's Prevention Initiative Composite Cognitive (APCC) Test Score"
NCT03132272,Efficacy of immunoadsorption for treatment of persons with Alzheimer dementia and agonistic autoantibodies against alpha1A-adrenoceptor.,"The IMAD trial outlined aims to ascertain whether the positive effects of immunoadsorption (IA) on slowing down dementia progression, shown in a pilot trial, can be replicated in a slightly larger number of subjects and to comprehensively investigate the effects by a combination of brain and vessel imaging along with cognitive tests and further state-of-the-art cardiovascular, cerebrovascular and laboratory examinations. If the trial results underpin the hypothesis that IA effectively counteracts pathophysiological impairments and dementia-related cognitive decline, it may open up a new treatment approach against dementia, namely the reversal or avoidance of further vascular damage by the removal of agonistic autoantibodies (agAAB) in agAAB-positive persons.

The aim of this study is (beside of safety) to demonstrate the stop of the vascular remodeling and cognition decline by immunoadsorption, a therapeutic method which is well established in cardiology and nephrology.",55-85 years of age; diagnosis of alzheimer's disease; presence of agaab against alpha1-adrenoceptor; mini mental state examination (mmse) score between 19 and 26; written informed consent given,"haemanalysis: ; presence of autoantibodies against the n-methyl-d-aspartate (nmda) receptor ; defective blood coagulation at time of inclusion ; severe protein deficiency disorders ; manifest vitamin/folic acid deficiency (substitution allowed); active infectious disease, or signs of ongoing infection with c-reactive protein (crp) \>10mmol/l; impaired renal function (serum creatinine \>220 μmol/l); any disease requiring immunosuppressive drugs or therapeutic antibodies; non curative treated malignant disease or another life-threatening disease with poor prognosis (survival less than 2 years), except for basal-cell carcinoma; unstable angina pectoris, atrioventricular block (av block) 2./3. degree or symptomatic sick sinus syndrome without implanted pacemaker, history of myocardial infarct, bypass or other revascularization measures, valvular heart defect (≥ 2. degree); severely reduced left ventricular systolic function (lvef \ 60%, peripheral artery occlusive disease (paod) \> iib, nascet, no clinical manifest apparent stroke in anamnesis, mri: no diffusion disorder, no expired territorial stroke; endocrine disorder excluding diabetes mellitus; severe hepatic damages (child-score \< 4); severe mental disorders (bipolar disorder, schizophrenia, depression) requiring treatment; alcohol or drug abuse; drug therapy against dementia since less than 3 months; psychopharmacological drug therapy since less than 3 months; dialysis requirement; mri contraindications (e.g. heart pacemaker); legal tutelage; previous treatments with ia or immunoglobulin; inability to undergo the study procedure (ia on five consecutive days with subsequent immunoglobulin g (igg) substitution); treatment with angiotensin-converting-enzyme inhibitors (ace inhibitors) during the ia (angiotensin receptor blockers (at-blockers) possible); participation in any other clinical/interventional study within less than 30 days prior to screening date",Immunoadsorption with Globaffin,"Changes in cerebral blood flow, estimated by Arterial Spin Labeling MRI"
